CRID,Witness_Gender,Witness_Age,Witness_Race,FOIA_Request_Number,Report_Produced_Date
1044504,M,27.802739726027397,BLACK,FOIA 14-5509,2015-08-03
1044505,F,25.309589041095894,BLACK,FOIA 14-5509,2015-08-03
1044509,F,50.37808219178083,BLACK,FOIA 14-5509,2015-08-03
1044510,F,,BLACK,FOIA 14-5509,2015-08-03
1044511,M,,BLACK,FOIA 14-5509,2015-08-03
1044514,F,,UNKNOWN,FOIA 14-5509,2015-08-03
1044515,M,60.16438356164384,BLACK,FOIA 14-5509,2015-08-03
1044519,M,42.860273972602734,BLACK,FOIA 14-5509,2015-08-03
1044521,M,60.16712328767123,BLACK,FOIA 14-5509,2015-08-03
1044524,M,65.23835616438356,BLACK,FOIA 14-5509,2015-08-03
1044525,F,39.50958904109589,BLACK,FOIA 14-5509,2015-08-03
1044526,F,45.465753424657535,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044529,M,58.635616438356166,BLACK,FOIA 14-5509,2015-08-03
1044530,F,57.797260273972604,HISPANIC,FOIA 14-5509,2015-08-03
1044532,F,46.69041095890412,WHITE,FOIA 14-5509,2015-08-03
1044533,F,44.99726027397261,BLACK,FOIA 14-5509,2015-08-03
1044534,M,37.01917808219178,BLACK,FOIA 14-5509,2015-08-03
1044535,F,42.68493150684932,BLACK,FOIA 14-5509,2015-08-03
1044538,M,61.6,WHITE,FOIA 14-5509,2015-08-03
1044539,F,51.47123287671233,BLACK,FOIA 14-5509,2015-08-03
1044541,F,65.4876712328767,BLACK,FOIA 14-5509,2015-08-03
1044543,M,24.649315068493152,BLACK,FOIA 14-5509,2015-08-03
1044544,F,50.37808219178083,BLACK,FOIA 14-5509,2015-08-03
1044547,F,59.95342465753424,BLACK,FOIA 14-5509,2015-08-03
1044549,M,,BLACK,FOIA 14-5509,2015-08-03
1044551,M,21.86027397260274,BLACK,FOIA 14-5509,2015-08-03
1044559,M,56.85479452054795,BLACK,FOIA 14-5509,2015-08-03
1044560,F,58.07123287671233,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044562,M,55.26575342465753,HISPANIC,FOIA 14-5509,2015-08-03
1044563,F,,BLACK,FOIA 14-5509,2015-08-03
1044564,F,25.156164383561645,BLACK,FOIA 14-5509,2015-08-03
1044568,M,22.95890410958904,BLACK,FOIA 14-5509,2015-08-03
1044569,M,47.25753424657534,BLACK,FOIA 14-5509,2015-08-03
1044570,M,43.73424657534247,BLACK,FOIA 14-5509,2015-08-03
1044571,M,33.15890410958904,BLACK,FOIA 14-5509,2015-08-03
1044575,M,44.73150684931507,BLACK,FOIA 14-5509,2015-08-03
1044576,F,28.219178082191778,WHITE,FOIA 14-5509,2015-08-03
1044578,F,26.912328767123284,WHITE,FOIA 14-5509,2015-08-03
1044579,M,71.68493150684932,BLACK,FOIA 14-5509,2015-08-03
1044582,M,,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044583,F,51.679452054794524,WHITE,FOIA 14-5509,2015-08-03
1044583,M,67.31232876712329,WHITE,FOIA 14-5509,2015-08-03
1044584,M,36.035616438356165,BLACK,FOIA 14-5509,2015-08-03
1044586,F,53.76164383561644,BLACK,FOIA 14-5509,2015-08-03
1044588,M,50.84657534246576,WHITE,FOIA 14-5509,2015-08-03
1044589,M,37.3068493150685,WHITE,FOIA 14-5509,2015-08-03
1044591,M,,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044593,F,54.153424657534245,WHITE,FOIA 14-5509,2015-08-03
1044596,M,37.589041095890416,BLACK,FOIA 14-5509,2015-08-03
1044599,M,26.553424657534247,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044600,M,33.12328767123288,BLACK,FOIA 14-5509,2015-08-03
1044601,M,33.90684931506849,BLACK,FOIA 14-5509,2015-08-03
1044603,F,32.654794520547945,BLACK,FOIA 14-5509,2015-08-03
1044604,M,54.78904109589041,BLACK,FOIA 14-5509,2015-08-03
1044605,F,60.85753424657534,BLACK,FOIA 14-5509,2015-08-03
1044606,F,34.890410958904106,BLACK,FOIA 14-5509,2015-08-03
1044607,M,59.58904109589041,WHITE,FOIA 14-5509,2015-08-03
1044609,F,32.6986301369863,BLACK,FOIA 14-5509,2015-08-03
1044610,M,25.764383561643836,WHITE,FOIA 14-5509,2015-08-03
1044611,M,35.53424657534247,BLACK,FOIA 14-5509,2015-08-03
1044613,F,43.04383561643836,WHITE,FOIA 14-5509,2015-08-03
1044614,M,,BLACK,FOIA 14-5509,2015-08-03
1044615,M,47.87671232876713,BLACK,FOIA 14-5509,2015-08-03
1044616,F,44.5013698630137,BLACK,FOIA 14-5509,2015-08-03
1044617,M,27.81095890410959,BLACK,FOIA 14-5509,2015-08-03
1044618,M,40.95342465753425,WHITE,FOIA 14-5509,2015-08-03
1044619,F,,BLACK,FOIA 14-5509,2015-08-03
1044620,M,38.180821917808224,BLACK,FOIA 14-5509,2015-08-03
1044621,M,46.66301369863014,BLACK,FOIA 14-5509,2015-08-03
1044622,F,54.42739726027398,BLACK,FOIA 14-5509,2015-08-03
1044624,F,34.2,BLACK,FOIA 14-5509,2015-08-03
1044625,F,42.139726027397266,BLACK,FOIA 14-5509,2015-08-03
1044626,F,30.769863013698632,WHITE,FOIA 14-5509,2015-08-03
1044627,F,,BLACK,FOIA 14-5509,2015-08-03
1044630,M,23.016438356164386,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044631,M,44.07123287671233,BLACK,FOIA 14-5509,2015-08-03
1044632,F,54.153424657534245,WHITE,FOIA 14-5509,2015-08-03
