crid,gender,age,race
1001011,M,NA,BLACK
1001012,M,52,BLACK
1001013,M,NA,BLACK
1001013,F,29,BLACK
1001014,F,56,BLACK
1001015,F,28,BLACK
1001016,M,51,WHITE
1001016,F,49,WHITE
1001016,M,52,HISPANIC
1001017,F,NA,BLACK
1001018,M,31,BLACK
1001019,F,54,BLACK
1001020,M,56,BLACK
1001021,M,74,BLACK
1001023,M,33,BLACK
1001024,F,36,BLACK
1001025,M,63,WHITE HISPANIC
1001026,M,40,WHITE HISPANIC
1001027,M,38,BLACK
1001028,M,46,HISPANIC
1001028,M,NA,BLACK
1001029,M,31,BLACK
1001030,F,37,BLACK
1001031,F,44,BLACK
1001031,F,63,BLACK
1001033,F,45,BLACK
1001035,F,40,BLACK
1001035,M,24,BLACK
1001035,F,41,BLACK
1001037,F,48,BLACK
1001038,F,58,WHITE
1001038,M,76,WHITE
1001039,M,49,BLACK
1001040,F,36,WHITE
1001041,M,56,BLACK
1001042,M,63,BLACK HISPANIC
1001043,M,39,BLACK
1001044,F,38,BLACK
1001045,M,35,BLACK
1001046,M,53,BLACK
1001048,M,35,BLACK
1001050,F,64,WHITE
1001052,M,34,BLACK
1001053,M,60,BLACK
1001054,M,28,WHITE HISPANIC
1001055,F,40,BLACK
1001056,M,43,WHITE
1001057,M,54,WHITE
1001059,M,46,BLACK
1001060,M,42,BLACK
1001061,M,35,BLACK
1001062,M,46,BLACK
1001063,M,38,BLACK
1001064,F,52,BLACK
1001065,M,54,BLACK
1001066,F,77,BLACK
1001067,M,NA,BLACK
1001068,M,48,WHITE HISPANIC
1001069,M,NA,BLACK
1001070,M,39,BLACK
1001072,M,35,BLACK
1001073,M,43,WHITE HISPANIC
1001074,F,39,BLACK
1001076,M,30,WHITE HISPANIC
1001077,M,31,BLACK
1001078,M,29,BLACK
1001079,F,38,WHITE
1001080,M,49,BLACK
1001081,M,NA,BLACK
1001082,F,68,BLACK
1001083,M,29,BLACK
1001084,F,60,WHITE
1001085,M,47,WHITE
1001087,M,64,BLACK
1001088,M,34,BLACK
1001089,M,57,WHITE
1001090,M,52,WHITE
1001091,M,45,WHITE
1001092,F,49,BLACK
1001093,F,42,BLACK
1001095,F,NA,UNKNOWN
1001096,F,NA,BLACK
1001097,M,47,WHITE
1001098,F,59,WHITE
1001098,F,52,WHITE
1001098,F,38,WHITE
1001099,F,53,BLACK
1001100,M,29,BLACK
1001101,M,NA,BLACK
1001102,M,56,BLACK
1001103,F,39,BLACK
1001104,F,45,BLACK
1001105,F,54,BLACK
1001106,M,29,BLACK
