CRID,Gender,Age,Race
1000868,F,48.20821917808219,BLACK
1000870,M,54.605479452054794,BLACK
1000871,M,56.947945205479456,BLACK
1000873,M,64.9068493150685,WHITE
1000874,M,36.55890410958904,BLACK
1000875,M,38.101369863013694,BLACK
1000876,M,42.364383561643834,BLACK
1000878,F,49.849315068493155,WHITE HISPANIC
1000881,F,35.74246575342466,BLACK
1000883,F,37.51780821917808,BLACK
1000886,F,47.52602739726028,BLACK
1000888,M,58.9013698630137,BLACK
1000889,M,49.843835616438355,BLACK
1000890,F,46.75068493150685,BLACK
1000892,F,38.43287671232876,BLACK
1000893,F,36.83561643835616,BLACK
1000894,M,90.13150684931506,BLACK
1000895,M,51.397260273972606,WHITE HISPANIC
1000896,F,50.33698630136986,WHITE HISPANIC
1000897,M,34.47397260273973,BLACK
1000899,M,55.14794520547945,WHITE HISPANIC
1000900,F,80.06027397260273,WHITE
1000901,F,44.35890410958904,BLACK
1000903,F,64.96438356164384,HISPANIC
1000908,F,46.539726027397265,WHITE
1000909,M,47.25479452054795,BLACK
1000910,M,90.58356164383562,AMER IND/ALASKAN NATIVE
1000911,M,57.536986301369865,BLACK
1000912,M,57.536986301369865,BLACK
1000913,F,33.50958904109589,BLACK
1000916,M,44.14520547945205,BLACK
1000917,F,54.446575342465756,WHITE
1000919,M,70.77534246575343,UNKNOWN
1000920,M,49.08767123287671,WHITE
1000921,M,52.01095890410959,WHITE
1000922,M,58.23561643835617,WHITE HISPANIC
1000925,F,42.27123287671233,BLACK
1000926,M,44.12876712328767,BLACK
1000927,F,29.753424657534246,BLACK
1000928,M,65.87397260273973,WHITE
1000929,M,69.98630136986301,WHITE
1000930,F,43.91232876712329,BLACK
1000931,M,67.67945205479452,BLACK
1000932,M,44.04931506849315,WHITE
1000934,M,46.419178082191785,WHITE
1000936,M,41.2,WHITE
1000936,M,53.986301369863014,HISPANIC
1000939,M,35.654794520547945,BLACK
1000941,F,35.26575342465753,BLACK
1000942,M,30.39178082191781,BLACK
1000944,M,29.52054794520548,BLACK
1000945,M,50.61917808219178,WHITE HISPANIC
1000946,M,42.868493150684934,BLACK
1000947,F,35.26575342465753,BLACK
1000949,F,53.23561643835617,BLACK
1000950,M,38.83013698630137,BLACK
1000951,F,65.69041095890411,WHITE HISPANIC
1000952,F,46.60821917808219,BLACK
1000953,M,50.37534246575343,WHITE
1000955,F,38.23013698630137,BLACK
1000955,M,34.93698630136986,WHITE HISPANIC
1000956,F,53.26301369863014,BLACK
1000958,M,30.194520547945203,BLACK
1000959,F,46.52602739726028,BLACK
1000960,F,50.8054794520548,BLACK
1000961,F,36.150684931506845,BLACK
1000962,F,48.657534246575345,BLACK
1000964,M,35.827397260273976,BLACK
1000966,F,53.6958904109589,BLACK
1000968,F,51.21369863013699,BLACK
