CATEGORY,PERS_STAR_NO,PERS_LAST_NME,PERS_FIRST_NME,DESCR
20A,19901,UTRERAS,EDWIN,POLICE OFFICER
20A,16554,TEJADA,OSWALDO,POLICE OFFICER
20A,17658,MULDOON,MICHAEL,POLICE OFFICER
20A,14318,JOHNSON,COURTNEY,POLICE OFFICER
20A,11765,PEDRAZA JR,JOSE,POLICE OFFICER
20A,7447,HACKETT,CHRIS,POLICE OFFICER
20A,19801,WOLFE,RAMA,POLICE OFFICER
20A,19999,MOHAMMAD,HAYTHAM,POLICE OFFICER
20A,19697,PEREZ,GERARDO,POLICE OFFICER
20A,11772,FRANO,JOHN,POLICE OFFICER
20A,5896,REIDY,BRIAN,POLICE OFFICER
20A,18578,NYKIEL,CRAIG,POLICE OFFICER
20A,7900,DOMIO,MALCOLM,POLICE OFFICER
20A,9039,SHAAR,KHALED,POLICE OFFICER
20A,15949,LEE,GEROLD,POLICE OFFICER
20A,8721,MCHALE,BRIAN,POLICE OFFICER
20A,9730,MCGRORY,MATTHEW,POLICE OFFICER
20A,7755,SORAGHAN,PETER,POLICE OFFICER
20A,13625,HEAD,LEATRICE,POLICE OFFICER
20A,12615,SWAYZER,TIMOTHY,POLICE OFFICER
20A,16193,SHACKLETON,JAMES,POLICE OFFICER
20A,11686,GROBLA,MAREK,POLICE OFFICER
20A,9736,SHEPARD,MICHAEL,POLICE OFFICER
20A,18400,BLANDEN,JAMES,POLICE OFFICER
20A,4780,HANRAHAN,THOMAS,POLICE OFFICER
20A,15792,FERNANDEZ,JOSEPH,POLICE OFFICER
20A,19963,DAVIS,TIAWANSA,POLICE OFFICER
20A,8024,GROBNER,DARREN,POLICE OFFICER
20A,19651,BERAN,TIMOTHY,POLICE OFFICER
20A,13052,BAKER,MICHAEL,POLICE OFFICER
20A,3268,FARY,TIMOTHY,POLICE OFFICER
20A,8600,GREGOIRE,JOHN,POLICE OFFICER
20A,4632,BLACKBURN,DARRION,POLICE OFFICER
20A,10972,KELNOSKY,STEVEN,POLICE OFFICER
20A,16461,BUCKNER,NYERE,POLICE OFFICER
20A,19165,PELLERANO,RICHARD,POLICE OFFICER
20A,13481,GALLARDO,SAUL,POLICE OFFICER
20A,10723,BOUCH,MATTHEW,POLICE OFFICER
20A,7649,GRABER,DENNIS,POLICE OFFICER
20A,4731,ADAMIAK,SIMON,POLICE OFFICER
20A,18443,CORTES,JOSE,POLICE OFFICER
20A,2040,MURPHY,JOHN,POLICE OFFICER
20A,18899,SZNURA,PAUL,POLICE OFFICER
20A,14469,STANULA,KEVIN,POLICE OFFICER
20A,13577,ALANIZ,MICHAEL,POLICE OFFICER
20A,18574,VO,KELLY,POLICE OFFICER
20A,19692,ANTONSEN,RICHARD,POLICE OFFICER
20A,6341,LAUBER,PAUL,POLICE OFFICER
20A,3927,SANDOVAL,PAUL,POLICE OFFICER
20A,7377,ROSE IV,ADAM,POLICE OFFICER
20A,20169,JOHNSON,WILLIAM,POLICE OFFICER
20A,16857,COLBENSON,DANIEL,POLICE OFFICER
20A,8667,GARZA,RUDOLPH,POLICE OFFICER
20A,15210,GAMEZ,ISRAEL,POLICE OFFICER
20A,8928,ZAVALA,WENSESLAO,POLICE OFFICER
20A,9595,OHLICHER,JON,POLICE OFFICER
20A,5491,MOORE JR,LOUIS,POLICE OFFICER
20A,2725,METTE,MICHAEL,POLICE OFFICER
20A,12580,CRISP,JERRY,POLICE OFFICER
20A,8897,SURVILLION,ALLEN,POLICE OFFICER
20A,17039,FORD,BRYAN,POLICE OFFICER
20A,11400,WEATHERLY,BOBBY,POLICE OFFICER
20A,15304,STILES,LAURENCE,POLICE OFFICER
20A,6360,WADE,MARCUS,POLICE OFFICER
20A,6254,PEARSON,DEL,POLICE OFFICER
20A,3268,FARY,TIMOTHY,POLICE OFFICER
20A,7154,SOLIS JR.,PEDRO,POLICE OFFICER
20A,4656,CRAVENS,DANIEL,POLICE OFFICER
20A,8384,RAINES,THOMAS,POLICE OFFICER
20A,9544,FAHEY JR,PATRICK,POLICE OFFICER
20A,8953,GROSS,FRED,POLICE OFFICER
20A,12921,THORNTON JR,JOHN,POLICE OFFICER
20A,16384,SCUDELLA,ANDREW,POLICE OFFICER
20A,8714,MORGAN,NOEL,POLICE OFFICER
20A,6030,GAINES,MICHAEL,POLICE OFFICER
20A,13624,LEAHY,BRIAN,POLICE OFFICER
20A,16011,GLAZEWSKI,JOHN,POLICE OFFICER
20A,2831,ORKOWSKI,JAYSEN,POLICE OFFICER
20A,18424,TORRES,ROMAN,POLICE OFFICER
20A,12652,BABICZ,ANTHONY,POLICE OFFICER
20A,8577,WHITE,NICHOLAS,POLICE OFFICER
20A,16968,FOSTER,MARK,POLICE OFFICER
20A,14577,OLIVER,MELVIN,POLICE OFFICER
20A,13565,LECLAIR,RYAN,POLICE OFFICER
20A,11114,STEVENS,PETER,POLICE OFFICER
20A,14085,VASSELLI,EMMA,POLICE OFFICER
20A,17290,PORTIS,VICTOR,POLICE OFFICER
20A,13669,GALLAGHER,JAMES,POLICE OFFICER
20A,17046,MARTINEZ,JAIR,POLICE OFFICER
20A,15109,YUSUF,MOHAMMAD,POLICE OFFICER
20A,8342,OCONNOR,MICHAEL,POLICE OFFICER
20A,13901,TORRES JR,AGUSTIN,POLICE OFFICER
20A,18858,LEE,DURAND,POLICE OFFICER
20A,17355,LANDRUM,JASON,POLICE OFFICER
20A,5368,CARO,RICHARD,POLICE OFFICER
20A,9206,PATTERSON,ALFIE,POLICE OFFICER
20A,17714,PEREZ,JASON,POLICE OFFICER
20A,11881,CHESNA,JAMIE,POLICE OFFICER
20A,13454,WAHRER,DANIELLE,POLICE OFFICER
