Complaint_Number,Complainant_Gender,Complainant_Age,Complainant_Race_Desc
1054344,F,51.9835616438356,BLACK
1054346,F,43.4356164383562,HISPANIC
1054347,F,55.2438356164384,BLACK
1054349,M,55.2027397260274,BLACK
1054351,F,51.4301369863014,BLACK
1054352,F,53.8328767123288,BLACK
1054353,M,35.4191780821918,BLACK
1054355,M,68.2767123287671,ASIAN/PACIFIC ISLANDER
1054356,F,31.7479452054794,BLACK
1054363,M,,BLACK
1054366,M,,WHITE
1054369,M,46.5397260273973,BLACK
1054371,F,50.1917808219178,BLACK
1054372,F,34.1397260273973,BLACK
1054373,F,55.854794520548,WHITE HISPANIC
1054375,M,46.7232876712329,BLACK
1054378,M,44.8082191780822,BLACK
1054380,M,49.0109589041096,BLACK
1054383,F,49.9315068493151,BLACK
1054384,F,32.3041095890411,BLACK
1054391,F,28.4465753424658,WHITE
1054392,M,54.158904109589,UNKNOWN
1054393,M,38.5753424657534,BLACK
1054394,F,42.2,WHITE HISPANIC
1054396,M,26.9150684931507,UNKNOWN
1054400,F,28.4767123287671,WHITE HISPANIC
1054401,M,24.5260273972603,BLACK
1054404,F,36.9260273972603,BLACK
1054410,M,,UNKNOWN
1054411,F,25.2191780821918,BLACK
1054412,M,51.8191780821918,WHITE
1054413,F,51.4876712328767,WHITE
1054417,M,26.6438356164384,BLACK
1054419,F,30.0931506849315,WHITE
1054425,M,33.1561643835616,WHITE HISPANIC
1054429,F,54.1150684931507,WHITE
1054430,F,42.4082191780822,BLACK
1054432,F,72.0630136986302,BLACK
1054438,M,36.3835616438356,BLACK
1054439,M,40.3013698630137,BLACK
1054440,M,43.1452054794521,WHITE HISPANIC
1054441,F,,WHITE
1054443,F,43.8520547945206,WHITE
1054445,M,51.1808219178082,BLACK
1054446,F,66.6739726027397,BLACK
1054450,F,53.2520547945205,BLACK
1054452,F,26.9287671232877,BLACK
1054454,F,64.5945205479452,BLACK
1054455,M,33.1095890410959,WHITE
1054456,F,55.2575342465753,BLACK
1054458,M,61.3917808219178,BLACK
1054460,M,29.1013698630137,WHITE HISPANIC
1054461,M,37.8328767123288,BLACK
1054463,F,48.6356164383562,BLACK
1054465,M,47.1205479452055,WHITE
1054466,M,31.427397260274,BLACK
1054467,M,37.9369863013699,BLACK
1054469,F,47.4027397260274,BLACK
1054469,M,49.6739726027397,BLACK
1054470,F,45.827397260274,WHITE HISPANIC
1054472,F,64.3452054794521,BLACK
1054474,F,,BLACK
1054476,M,48.0301369863014,BLACK
1054479,F,33.613698630137,BLACK
1054480,F,55.5315068493151,WHITE HISPANIC
1054481,M,63.6246575342466,BLACK
1054482,M,46.2876712328767,BLACK
1054489,M,,BLACK
1054491,M,65.4027397260274,BLACK
1054493,M,36.1315068493151,BLACK
1054495,M,84.9945205479452,WHITE HISPANIC
1054496,M,22.2739726027397,UNKNOWN
1054498,F,59.5479452054795,BLACK
1054499,M,33.0082191780822,BLACK
1054503,M,45.3945205479452,BLACK
1054506,M,,UNKNOWN
1054507,F,53.9753424657534,WHITE HISPANIC
1054508,F,,WHITE
1054513,M,,BLACK HISPANIC
1054516,F,75.7698630136986,BLACK
1054518,F,26.6767123287671,BLACK
1054519,F,29.9013698630137,BLACK
1054525,F,43.0931506849315,BLACK
1054527,F,22.2,BLACK
1054528,M,60.8684931506849,BLACK
1054533,F,31.5150684931507,BLACK
1054537,F,34.5260273972603,BLACK
1054539,F,35.9315068493151,BLACK
1054541,M,33.786301369863,BLACK
1054542,F,33.4383561643836,BLACK
1054544,M,33.8849315068493,BLACK
1054545,F,,BLACK
1054549,F,28.0986301369863,WHITE
1054550,F,54.9835616438356,BLACK
1054551,F,30.6054794520548,BLACK
1054552,F,37.5753424657534,WHITE HISPANIC
1054554,F,28.2301369863014,BLACK
1054556,F,27.7479452054795,BLACK
1054557,F,39.7123287671233,BLACK
1054563,F,46.4328767123288,BLACK
1054564,M,42.8493150684932,BLACK
1054565,F,53.5616438356164,WHITE HISPANIC
1054569,M,,WHITE
1054570,F,49.0602739726027,WHITE HISPANIC
1054574,M,,UNKNOWN
1054575,M,29.827397260274,WHITE HISPANIC
1054577,M,24.7068493150685,WHITE HISPANIC
1054578,M,45.854794520548,WHITE HISPANIC
1054580,M,44.9917808219178,BLACK
1054582,M,32.8684931506849,BLACK
1054583,M,29.5479452054794,BLACK
1054585,M,53.041095890411,WHITE
1054586,F,52.4904109589041,WHITE HISPANIC
1054587,F,49.8027397260274,BLACK
1054593,M,,UNKNOWN
1054598,M,32.0739726027397,BLACK
1054600,M,,BLACK
1054601,M,50.5205479452055,BLACK
1054603,F,25.0657534246575,BLACK
1054605,F,22.3287671232877,BLACK
1054606,M,66.3232876712329,BLACK
1054607,F,73.6465753424658,BLACK
1054614,M,32.758904109589,BLACK
1054615,M,46.4904109589041,BLACK
1054619,F,51.4657534246575,BLACK
1054620,M,34.9287671232877,WHITE HISPANIC
1054621,F,48.1753424657534,WHITE HISPANIC
1054622,F,33.1013698630137,BLACK
1054623,M,24.0520547945205,BLACK
1054624,F,45.7534246575342,WHITE
1054627,M,27.1808219178082,WHITE
1054630,M,,BLACK
1054633,F,52.8684931506849,WHITE HISPANIC
1054634,M,41.2164383561644,BLACK
1054638,F,,BLACK
1054639,F,34.7260273972603,BLACK
1054640,M,49.4493150684932,BLACK
1054642,F,37.4,WHITE HISPANIC
1054643,M,58.6,BLACK
1054644,F,,BLACK
1054645,F,,BLACK
1054651,M,52.7671232876712,WHITE
1054655,F,47.5698630136986,WHITE
1054656,M,32.9972602739726,BLACK
1054658,F,39.558904109589,BLACK
1054660,F,167.679452054795,WHITE
1054663,M,46.0849315068493,WHITE HISPANIC
1054665,F,63.7041095890411,BLACK
1054667,M,33.5643835616438,WHITE HISPANIC
1054669,M,32.2931506849315,BLACK
1054673,F,26.1315068493151,BLACK
1054674,F,,WHITE HISPANIC
1054676,F,,BLACK
1054680,M,,BLACK
1054682,M,,WHITE
1054683,F,46.8767123287671,ASIAN/PACIFIC ISLANDER
1054686,F,30.1123287671233,BLACK
1054687,F,49.4794520547945,HISPANIC
1054689,M,29.7945205479452,BLACK
1054690,M,56.5095890410959,BLACK
1054691,M,33.9753424657534,WHITE
1054694,F,32.2191780821918,BLACK
1054695,M,42.6876712328767,BLACK
1054696,F,39.1506849315068,UNKNOWN
1054697,F,36.1397260273973,BLACK
1054698,F,61.4684931506849,ASIAN/PACIFIC ISLANDER
1054701,F,47.5698630136986,WHITE
1054702,F,43.3890410958904,BLACK
1054705,F,49.1041095890411,BLACK
1054706,M,24.0602739726027,BLACK
1054709,M,,BLACK
1054710,M,,BLACK
1054715,F,54.6027397260274,WHITE
1054721,F,37.9315068493151,WHITE HISPANIC
1054724,F,52.9123287671233,BLACK
1054725,M,37.9890410958904,WHITE
1054726,M,63.9041095890411,HISPANIC
1054727,F,48.9424657534247,BLACK
1054728,F,41.0328767123288,BLACK
1054732,M,27.3342465753425,BLACK
1054736,M,38.6876712328767,BLACK
1054737,M,47.5479452054795,WHITE
1054738,F,57.158904109589,BLACK
1054740,M,43.9260273972603,WHITE
1054742,F,43.8821917808219,BLACK
1054743,M,68.7643835616438,BLACK
1054744,M,52.1890410958904,BLACK
1054746,M,31.7397260273973,UNKNOWN
1054750,M,50.1753424657534,WHITE
1054751,F,56.586301369863,BLACK
1054753,M,39.4191780821918,WHITE HISPANIC
1054754,M,27.4082191780822,BLACK
1054756,M,57.7561643835617,BLACK
1054758,F,47.6164383561644,BLACK
1054761,F,49.4794520547945,HISPANIC
1054762,F,45.5945205479452,BLACK
1054764,M,28.8109589041096,BLACK
1054765,F,,WHITE HISPANIC
1054766,F,58.4219178082192,BLACK
1054769,F,47.3123287671233,BLACK
1054770,M,57.6520547945206,BLACK
1054772,F,,BLACK
1054773,M,38.7753424657534,BLACK
1054775,M,29.2054794520548,BLACK
1054776,M,57.9780821917808,BLACK
1054777,F,47.9780821917808,BLACK
1054778,F,61.6082191780822,BLACK
1054782,M,44.0602739726027,BLACK
1054785,M,25.586301369863,BLACK
1054788,M,,BLACK
1054789,M,23.1013698630137,BLACK
1054789,M,,BLACK
1054790,F,26.3123287671233,BLACK
1054791,F,,WHITE HISPANIC
1054794,F,57.8767123287671,BLACK
1054795,M,40.7315068493151,WHITE HISPANIC
1054796,M,55.0438356164384,HISPANIC
1054798,F,54.0849315068493,BLACK
1054800,F,44.3260273972603,BLACK
1054801,M,,UNKNOWN
1054805,F,,BLACK
1054806,M,39.1479452054795,WHITE
1054809,F,53.0465753424658,WHITE
1054811,F,,BLACK
1054813,F,,UNKNOWN
1054814,F,30.1452054794521,BLACK
1054815,F,30.1452054794521,BLACK
1054816,F,46.6054794520548,WHITE HISPANIC
1054819,F,54.6246575342466,BLACK
1054821,F,,WHITE HISPANIC
1054823,F,34.0246575342466,BLACK
1054825,M,23.4054794520548,BLACK
1054826,M,,BLACK
1054830,M,57.6520547945206,BLACK
1054831,M,37.5369863013699,BLACK
1054832,F,,BLACK
1054833,M,33.4876712328767,BLACK
1054835,F,32.4986301369863,WHITE HISPANIC
1054836,M,33.9369863013699,BLACK
1054837,F,41.8082191780822,BLACK
1054838,F,45.1616438356164,BLACK
1054839,F,,BLACK
1054840,F,41.6219178082192,BLACK
1054842,M,68.8328767123288,BLACK
1054846,F,39.4301369863014,BLACK
1054848,M,61.3643835616438,WHITE
1054849,M,34.3671232876712,BLACK
1054850,F,71.5616438356164,BLACK
1054851,M,53.4,WHITE
1054853,M,,WHITE HISPANIC
1054854,M,54.8383561643836,WHITE
1054855,M,55.641095890411,BLACK
1054856,M,60.427397260274,WHITE
1054857,M,29.8520547945205,WHITE HISPANIC
1054861,M,48.586301369863,BLACK
1054862,M,66.9808219178082,BLACK
1054864,M,35.5835616438356,BLACK
