CRID,Witness_Gender,Witness_Race
1045699,M,BLACK
1045701,M,SPANISH (DO NOT USE)
1045702,M,UNKNOWN
1045704,M,BLACK
1045705,M,BLACK
1045707,M,BLACK
1045709,F,BLACK
1045710,F,WHITE HISPANIC
1045711,M,WHITE
1045712,M,WHITE HISPANIC
1045713,F,WHITE HISPANIC
1045714,M,SPANISH (DO NOT USE)
1045715,M,BLACK
1045716,F,BLACK
1045718,M,WHITE
1045719,F,BLACK
1045723,M,WHITE
1045726,M,BLACK
1045728,F,BLACK
1045729,M,BLACK
1045730,F,BLACK
1045732,M,WHITE HISPANIC
1045733,F,WHITE
1045735,F,WHITE
1045736,M,BLACK
1045737,M,BLACK
1045738,M,BLACK
1045739,F,BLACK
1045740,M,WHITE
1045741,M,WHITE
1045742,M,BLACK
1045745,F,BLACK
1045747,F,BLACK
1045748,F,BLACK
1045749,M,WHITE
1045753,F,WHITE HISPANIC
1045757,M,WHITE
1045758,F,BLACK
1045760,F,BLACK
1045761,F,WHITE
1045764,M,WHITE
1045765,F,BLACK
1045767,M,WHITE
1045770,M,BLACK
1045772,F,BLACK
1045774,M,BLACK
1045775,F,WHITE HISPANIC
1045777,M,WHITE HISPANIC
1045781,F,BLACK
1045783,M,BLACK
1045786,M,BLACK
1045788,M,BLACK
1045792,M,UNKNOWN
1045794,F,BLACK
1045795,F,BLACK
1045796,M,WHITE
1045800,F,SPANISH (DO NOT USE)
1045802,M,WHITE
1045805,M,BLACK
1045808,F,BLACK
1045809,M,BLACK
1045810,M,BLACK
1045811,M,WHITE
1045812,F,BLACK
1045816,F,BLACK
1045819,M,WHITE
1045821,F,BLACK
1045822,M,BLACK
1045825,M,WHITE
1045827,M,WHITE HISPANIC
1045828,F,BLACK
1045829,M,BLACK
1045833,M,WHITE
1045834,M,WHITE
1045836,F,BLACK
1045838,F,BLACK
1045842,M,ASIAN/PACIFIC ISLANDER
1045843,F,BLACK
1045844,M,BLACK
1045845,F,BLACK
1045846,F,UNKNOWN
1045847,F,WHITE
1045849,M,BLACK
1045851,M,BLACK
1045852,F,BLACK
1045854,F,BLACK
1045855,F,BLACK
1045861,F,BLACK
1045866,F,BLACK
1045869,F,WHITE
1045871,F,BLACK
1045874,M,BLACK
1045875,M,WHITE
1045877,F,BLACK
1045879,F,BLACK
1045884,M,WHITE HISPANIC
1045885,F,BLACK
1045886,M,BLACK
1045887,M,WHITE
1045891,M,BLACK
1045893,F,WHITE HISPANIC
1045894,M,WHITE HISPANIC
1045895,M,BLACK
1045897,F,WHITE
1045898,F,BLACK
1045899,M,BLACK
1045900,M,BLACK
1045902,F,BLACK
1045903,F,BLACK
1045904,M,WHITE
1045905,F,BLACK
